player,team,team_games,minutes,position,np_shots,np_goals,npxg,np_xplace,xassists
Julie Doyle,ORL,22,854,W,12,1,1.2095,-0.5149,0.4825
Summer Yates,ORL,22,816,W,8,0,0.8928,-0.5552,1.0199
Tessa Dellarose,CHI,22,1131,FB,3,1,0.479,0.1347,0.1446
Cate Hardin,HOU,22,676,DM,4,0,0.1686,0.0995,0.096
Marta,ORL,22,664,ST,13,1,1.453,-0.927,0.8186
Nealy Martin,LA,21,1061,DM,5,0,0.1599,-0.1381,0.296
Olivia Moultrie,POR,22,1460,AM,36,4,4.3138,-0.5402,2.4515
Madison Curry,SEA,21,1400,FB,8,0,0.342,-0.2611,0.4949
Malia Berkely,HOU,22,1111,CB,5,0,0.1376,-0.1376,0.0298
Katharine Scott,KC,23,780,FB,2,0,0.08,0.0109,0.0294
Linda Ullmark,HOU,22,1845,W,29,3,3.3815,-0.3259,1.6944
Claudia Martínez,WAS,22,712,W,24,3,4.3726,-1.0288,0
Jordyn Bugg,SEA,21,1218,CB,9,1,0.5186,-0.0725,0.1955
Gia Corley,SD,22,1191,CM,25,0,2.566,-0.9947,3.2417
Kailen Sheridan,NC,22,2297,GK,0,0,0,0,0.4479
Jessie Fleming,POR,22,2203,DM,12,1,0.5274,-0.0139,2.3096
Cori Dyke,ORL,22,2246,FB,5,1,0.1576,-0.0639,0.6967
Esme Morgan,WAS,22,1876,CB,5,0,0.0941,-0.0941,0.9394
Sophia Wilson,POR,22,1934,ST,88,8,8.3744,-0.7604,3.4671
Natasha Flint,DEN,21,1498,AM,42,5,3.0138,0.7535,1.1671
Abby Smith,DEN,21,1929,GK,0,0,0,0,0.078
Carly Wickenheiser,NC,22,846,CM,4,0,0.3178,-0.3178,0.3281
Mal Swanson,CHI,22,674,W,12,2,1.0833,0.4082,0.9814
Bianca St. Georges,BOS,22,1610,FB,16,2,1.2939,-0.4006,2.0146
Evelyn Ijeh,NC,22,1654,ST,44,11,9.8944,-0.4071,1.6279
Yuna McCormack,DEN,21,753,W,7,0,1.2297,-1.0336,1.0012
Sveindís Jane Jónsdóttir,LA,21,1287,ST,33,7,5.1378,0.038,2.4384
Ann-Katrin Berger,NJY,23,2055,GK,1,0,0.0097,0.0261,0.166
Pietra Tordin,POR,22,1860,W,45,7,5.0872,0.1877,5.2938
